new file name, old file name, CWE, CWE present, CWE description, CodeQl result
J1000, CWE111_Unsafe_JNI__console_01_bad, CWE-111, True, Unsafe JNI
J1035, CWE113_HTTP_Response_Splitting__getCookies_Servlet_addHeaderServlet_01_good, CWE-113, False, HTTP Response Splitting
J1036, CWE113_HTTP_Response_Splitting__getCookies_Servlet_setHeaderServlet_01_bad, CWE-113, True, HTTP Response Splitting,CWE-74 CWE-93 CWE-113 CWE-707,CWE-601 CWE-610 CWE-664
J1037, CWE113_HTTP_Response_Splitting__getCookies_Servlet_setHeaderServlet_01_good, CWE-113, False, HTTP Response Splitting
J1038, CWE113_HTTP_Response_Splitting__getParameter_Servlet_addCookieServlet_01_bad, CWE-113, True, HTTP Response Splitting,CWE-74 CWE-93 CWE-113 CWE-707,CWE-311 CWE-614 CWE-693
J1039, CWE113_HTTP_Response_Splitting__getParameter_Servlet_addCookieServlet_01_good, CWE-113, False, HTTP Response Splitting,CWE-311 CWE-614 CWE-693,CWE-311 CWE-614 CWE-693
J1040, CWE113_HTTP_Response_Splitting__getParameter_Servlet_addHeaderServlet_01_bad, CWE-113, True, HTTP Response Splitting,CWE-74 CWE-93 CWE-113 CWE-707,CWE-601 CWE-610 CWE-664
J1041, CWE113_HTTP_Response_Splitting__getParameter_Servlet_addHeaderServlet_01_good, CWE-113, False, HTTP Response Splitting
J1042, CWE113_HTTP_Response_Splitting__getParameter_Servlet_setHeaderServlet_01_bad, CWE-113, True, HTTP Response Splitting,CWE-74 CWE-93 CWE-113 CWE-707,CWE-601 CWE-610 CWE-664
J1043, CWE113_HTTP_Response_Splitting__getParameter_Servlet_setHeaderServlet_01_good, CWE-113, False, HTTP Response Splitting
J1044, CWE113_HTTP_Response_Splitting__getQueryString_Servlet_addCookieServlet_01_bad, CWE-113, True, HTTP Response Splitting,CWE-74 CWE-93 CWE-113 CWE-707,CWE-311 CWE-614 CWE-693
J1045, CWE113_HTTP_Response_Splitting__getQueryString_Servlet_addCookieServlet_01_good, CWE-113, False, HTTP Response Splitting,CWE-311 CWE-614 CWE-693,CWE-311 CWE-614 CWE-693
J1046, CWE113_HTTP_Response_Splitting__getQueryString_Servlet_addHeaderServlet_01_bad, CWE-113, True, HTTP Response Splitting,CWE-74 CWE-93 CWE-113 CWE-707,CWE-601 CWE-610 CWE-664
J1047, CWE113_HTTP_Response_Splitting__getQueryString_Servlet_addHeaderServlet_01_good, CWE-113, False, HTTP Response Splitting
J1048, CWE113_HTTP_Response_Splitting__getQueryString_Servlet_setHeaderServlet_01_bad, CWE-113, True, HTTP Response Splitting,CWE-74 CWE-93 CWE-113 CWE-707,CWE-601 CWE-610 CWE-664
J1049, CWE113_HTTP_Response_Splitting__getQueryString_Servlet_setHeaderServlet_01_good, CWE-113, False, HTTP Response Splitting
J1050, CWE113_HTTP_Response_Splitting__listen_tcp_addCookieServlet_01_bad, CWE-113, True, HTTP Response Splitting,CWE-74 CWE-93 CWE-113 CWE-707,CWE-311 CWE-614 CWE-693
J1051, CWE113_HTTP_Response_Splitting__listen_tcp_addCookieServlet_01_good, CWE-113, False, HTTP Response Splitting,CWE-311 CWE-614 CWE-693,CWE-311 CWE-614 CWE-693
J1052, CWE113_HTTP_Response_Splitting__listen_tcp_addHeaderServlet_01_bad, CWE-113, True, HTTP Response Splitting,CWE-74 CWE-93 CWE-113 CWE-707,CWE-601 CWE-610 CWE-664
J1053, CWE113_HTTP_Response_Splitting__listen_tcp_addHeaderServlet_01_good, CWE-113, False, HTTP Response Splitting
J1054, CWE113_HTTP_Response_Splitting__listen_tcp_setHeaderServlet_01_bad, CWE-113, True, HTTP Response Splitting,CWE-74 CWE-93 CWE-113 CWE-707,CWE-601 CWE-610 CWE-664
J1055, CWE113_HTTP_Response_Splitting__listen_tcp_setHeaderServlet_01_good, CWE-113, False, HTTP Response Splitting
J1056, CWE113_HTTP_Response_Splitting__PropertiesFile_addCookieServlet_01_bad, CWE-113, True, HTTP Response Splitting,CWE-311 CWE-614 CWE-693
J1057, CWE113_HTTP_Response_Splitting__PropertiesFile_addCookieServlet_01_good, CWE-113, False, HTTP Response Splitting,CWE-311 CWE-614 CWE-693,CWE-311 CWE-614 CWE-693
J1058, CWE113_HTTP_Response_Splitting__PropertiesFile_addHeaderServlet_01_bad, CWE-113, True, HTTP Response Splitting
J1059, CWE113_HTTP_Response_Splitting__PropertiesFile_addHeaderServlet_01_good, CWE-113, False, HTTP Response Splitting
J1060, CWE113_HTTP_Response_Splitting__PropertiesFile_setHeaderServlet_01_bad, CWE-113, True, HTTP Response Splitting
J1061, CWE113_HTTP_Response_Splitting__PropertiesFile_setHeaderServlet_01_good, CWE-113, False, HTTP Response Splitting
J1062, CWE113_HTTP_Response_Splitting__Property_addCookieServlet_01_bad, CWE-113, True, HTTP Response Splitting,CWE-311 CWE-614 CWE-693
J1063, CWE113_HTTP_Response_Splitting__Property_addCookieServlet_01_good, CWE-113, False, HTTP Response Splitting,CWE-311 CWE-614 CWE-693,CWE-311 CWE-614 CWE-693
J1064, CWE113_HTTP_Response_Splitting__Property_addHeaderServlet_01_bad, CWE-113, True, HTTP Response Splitting
J1065, CWE113_HTTP_Response_Splitting__Property_addHeaderServlet_01_good, CWE-113, False, HTTP Response Splitting
J1066, CWE113_HTTP_Response_Splitting__Property_setHeaderServlet_01_bad, CWE-113, True, HTTP Response Splitting
J1067, CWE113_HTTP_Response_Splitting__Property_setHeaderServlet_01_good, CWE-113, False, HTTP Response Splitting
J1068, CWE113_HTTP_Response_Splitting__URLConnection_addCookieServlet_01_bad, CWE-113, True, HTTP Response Splitting,CWE-74 CWE-93 CWE-113 CWE-707,CWE-311 CWE-614 CWE-693
J1069, CWE113_HTTP_Response_Splitting__URLConnection_addCookieServlet_01_good, CWE-113, False, HTTP Response Splitting,CWE-311 CWE-614 CWE-693,CWE-311 CWE-614 CWE-693
J1070, CWE113_HTTP_Response_Splitting__URLConnection_addHeaderServlet_01_bad, CWE-113, True, HTTP Response Splitting,CWE-74 CWE-93 CWE-113 CWE-707,CWE-601 CWE-610 CWE-664
J1071, CWE113_HTTP_Response_Splitting__URLConnection_addHeaderServlet_01_good, CWE-113, False, HTTP Response Splitting
J1072, CWE113_HTTP_Response_Splitting__URLConnection_setHeaderServlet_01_bad, CWE-113, True, HTTP Response Splitting,CWE-74 CWE-93 CWE-113 CWE-707,CWE-601 CWE-610 CWE-664
J1073, CWE113_HTTP_Response_Splitting__URLConnection_setHeaderServlet_01_good, CWE-113, False, HTTP Response Splitting
J1074, CWE114_Process_Control__basic_01_bad, CWE-114, True, Process Control
J1075, CWE114_Process_Control__basic_01_good, CWE-114, False, Process Control
J1076, CWE129_Improper_Validation_of_Array_Index__connect_tcp_array_read_check_max_01_bad, CWE-129, True, Improper Validation of Array Index
J1077, CWE129_Improper_Validation_of_Array_Index__connect_tcp_array_read_check_max_01_good, CWE-129, False, Improper Validation of Array Index
J1078, CWE129_Improper_Validation_of_Array_Index__connect_tcp_array_read_check_min_01_bad, CWE-129, True, Improper Validation of Array Index
J1079, CWE129_Improper_Validation_of_Array_Index__connect_tcp_array_read_check_min_01_good, CWE-129, False, Improper Validation of Array Index
J1080, CWE129_Improper_Validation_of_Array_Index__connect_tcp_array_read_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1081, CWE129_Improper_Validation_of_Array_Index__connect_tcp_array_read_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1082, CWE129_Improper_Validation_of_Array_Index__connect_tcp_array_size_01_bad, CWE-129, True, Improper Validation of Array Index
J1083, CWE129_Improper_Validation_of_Array_Index__connect_tcp_array_size_01_good, CWE-129, False, Improper Validation of Array Index
J1084, CWE129_Improper_Validation_of_Array_Index__connect_tcp_array_write_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1085, CWE129_Improper_Validation_of_Array_Index__connect_tcp_array_write_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1086, CWE129_Improper_Validation_of_Array_Index__console_readLine_array_read_check_max_01_bad, CWE-129, True, Improper Validation of Array Index
J1087, CWE129_Improper_Validation_of_Array_Index__console_readLine_array_read_check_max_01_good, CWE-129, False, Improper Validation of Array Index
J1088, CWE129_Improper_Validation_of_Array_Index__console_readLine_array_read_check_min_01_bad, CWE-129, True, Improper Validation of Array Index
J1089, CWE129_Improper_Validation_of_Array_Index__console_readLine_array_read_check_min_01_good, CWE-129, False, Improper Validation of Array Index
J1090, CWE129_Improper_Validation_of_Array_Index__console_readLine_array_read_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1091, CWE129_Improper_Validation_of_Array_Index__console_readLine_array_read_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1092, CWE129_Improper_Validation_of_Array_Index__console_readLine_array_size_01_bad, CWE-129, True, Improper Validation of Array Index
J1093, CWE129_Improper_Validation_of_Array_Index__console_readLine_array_size_01_good, CWE-129, False, Improper Validation of Array Index
J1094, CWE129_Improper_Validation_of_Array_Index__console_readLine_array_write_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1095, CWE129_Improper_Validation_of_Array_Index__console_readLine_array_write_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1096, CWE129_Improper_Validation_of_Array_Index__database_array_read_check_max_01_bad, CWE-129, True, Improper Validation of Array Index
J1097, CWE129_Improper_Validation_of_Array_Index__database_array_read_check_max_01_good, CWE-129, False, Improper Validation of Array Index
J1098, CWE129_Improper_Validation_of_Array_Index__database_array_read_check_min_01_bad, CWE-129, True, Improper Validation of Array Index
J1099, CWE129_Improper_Validation_of_Array_Index__database_array_read_check_min_01_good, CWE-129, False, Improper Validation of Array Index
J1100, CWE129_Improper_Validation_of_Array_Index__database_array_read_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1101, CWE129_Improper_Validation_of_Array_Index__database_array_read_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1102, CWE129_Improper_Validation_of_Array_Index__database_array_size_01_bad, CWE-129, True, Improper Validation of Array Index
J1103, CWE129_Improper_Validation_of_Array_Index__database_array_size_01_good, CWE-129, False, Improper Validation of Array Index
J1104, CWE129_Improper_Validation_of_Array_Index__database_array_write_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1105, CWE129_Improper_Validation_of_Array_Index__database_array_write_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1106, CWE129_Improper_Validation_of_Array_Index__Environment_array_read_check_max_01_bad, CWE-129, True, Improper Validation of Array Index
J1107, CWE129_Improper_Validation_of_Array_Index__Environment_array_read_check_max_01_good, CWE-129, False, Improper Validation of Array Index
J1108, CWE129_Improper_Validation_of_Array_Index__Environment_array_read_check_min_01_bad, CWE-129, True, Improper Validation of Array Index
J1109, CWE129_Improper_Validation_of_Array_Index__Environment_array_read_check_min_01_good, CWE-129, False, Improper Validation of Array Index
J1110, CWE129_Improper_Validation_of_Array_Index__Environment_array_read_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1111, CWE129_Improper_Validation_of_Array_Index__Environment_array_read_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1112, CWE129_Improper_Validation_of_Array_Index__Environment_array_size_01_bad, CWE-129, True, Improper Validation of Array Index
J1113, CWE129_Improper_Validation_of_Array_Index__Environment_array_size_01_good, CWE-129, False, Improper Validation of Array Index
J1114, CWE129_Improper_Validation_of_Array_Index__Environment_array_write_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1115, CWE129_Improper_Validation_of_Array_Index__Environment_array_write_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1116, CWE129_Improper_Validation_of_Array_Index__File_array_read_check_max_01_bad, CWE-129, True, Improper Validation of Array Index
J1117, CWE129_Improper_Validation_of_Array_Index__File_array_read_check_max_01_good, CWE-129, False, Improper Validation of Array Index
J1118, CWE129_Improper_Validation_of_Array_Index__File_array_read_check_min_01_bad, CWE-129, True, Improper Validation of Array Index
J1119, CWE129_Improper_Validation_of_Array_Index__File_array_read_check_min_01_good, CWE-129, False, Improper Validation of Array Index
J1120, CWE129_Improper_Validation_of_Array_Index__File_array_read_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1121, CWE129_Improper_Validation_of_Array_Index__File_array_read_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1122, CWE129_Improper_Validation_of_Array_Index__File_array_size_01_bad, CWE-129, True, Improper Validation of Array Index
J1123, CWE129_Improper_Validation_of_Array_Index__File_array_size_01_good, CWE-129, False, Improper Validation of Array Index
J1124, CWE129_Improper_Validation_of_Array_Index__File_array_write_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1125, CWE129_Improper_Validation_of_Array_Index__File_array_write_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1126, CWE129_Improper_Validation_of_Array_Index__getCookies_Servlet_array_read_check_max_01_bad, CWE-129, True, Improper Validation of Array Index
J1127, CWE129_Improper_Validation_of_Array_Index__getCookies_Servlet_array_read_check_max_01_good, CWE-129, False, Improper Validation of Array Index
J1128, CWE129_Improper_Validation_of_Array_Index__getCookies_Servlet_array_read_check_min_01_bad, CWE-129, True, Improper Validation of Array Index
J1129, CWE129_Improper_Validation_of_Array_Index__getCookies_Servlet_array_read_check_min_01_good, CWE-129, False, Improper Validation of Array Index
J1130, CWE129_Improper_Validation_of_Array_Index__getCookies_Servlet_array_read_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1131, CWE129_Improper_Validation_of_Array_Index__getCookies_Servlet_array_read_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1132, CWE129_Improper_Validation_of_Array_Index__getCookies_Servlet_array_size_01_bad, CWE-129, True, Improper Validation of Array Index
J1133, CWE129_Improper_Validation_of_Array_Index__getCookies_Servlet_array_size_01_good, CWE-129, False, Improper Validation of Array Index
J1134, CWE129_Improper_Validation_of_Array_Index__getCookies_Servlet_array_write_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1135, CWE129_Improper_Validation_of_Array_Index__getCookies_Servlet_array_write_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1136, CWE129_Improper_Validation_of_Array_Index__getParameter_Servlet_array_read_check_max_01_bad, CWE-129, True, Improper Validation of Array Index
J1137, CWE129_Improper_Validation_of_Array_Index__getParameter_Servlet_array_read_check_max_01_good, CWE-129, False, Improper Validation of Array Index
J1138, CWE129_Improper_Validation_of_Array_Index__getParameter_Servlet_array_read_check_min_01_bad, CWE-129, True, Improper Validation of Array Index
J1139, CWE129_Improper_Validation_of_Array_Index__getParameter_Servlet_array_read_check_min_01_good, CWE-129, False, Improper Validation of Array Index
J1140, CWE129_Improper_Validation_of_Array_Index__getParameter_Servlet_array_read_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1141, CWE129_Improper_Validation_of_Array_Index__getParameter_Servlet_array_read_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1142, CWE129_Improper_Validation_of_Array_Index__getParameter_Servlet_array_size_01_bad, CWE-129, True, Improper Validation of Array Index
J1143, CWE129_Improper_Validation_of_Array_Index__getParameter_Servlet_array_size_01_good, CWE-129, False, Improper Validation of Array Index
J1144, CWE129_Improper_Validation_of_Array_Index__getParameter_Servlet_array_write_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1145, CWE129_Improper_Validation_of_Array_Index__getParameter_Servlet_array_write_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1146, CWE129_Improper_Validation_of_Array_Index__getQueryString_Servlet_array_read_check_max_01_bad, CWE-129, True, Improper Validation of Array Index
J1147, CWE129_Improper_Validation_of_Array_Index__getQueryString_Servlet_array_read_check_max_01_good, CWE-129, False, Improper Validation of Array Index
J1148, CWE129_Improper_Validation_of_Array_Index__getQueryString_Servlet_array_read_check_min_01_bad, CWE-129, True, Improper Validation of Array Index
J1149, CWE129_Improper_Validation_of_Array_Index__getQueryString_Servlet_array_read_check_min_01_good, CWE-129, False, Improper Validation of Array Index
J1150, CWE129_Improper_Validation_of_Array_Index__getQueryString_Servlet_array_read_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1151, CWE129_Improper_Validation_of_Array_Index__getQueryString_Servlet_array_read_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1152, CWE129_Improper_Validation_of_Array_Index__getQueryString_Servlet_array_size_01_bad, CWE-129, True, Improper Validation of Array Index
J1153, CWE129_Improper_Validation_of_Array_Index__getQueryString_Servlet_array_size_01_good, CWE-129, False, Improper Validation of Array Index
J1154, CWE129_Improper_Validation_of_Array_Index__getQueryString_Servlet_array_write_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1155, CWE129_Improper_Validation_of_Array_Index__getQueryString_Servlet_array_write_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1156, CWE129_Improper_Validation_of_Array_Index__large_fixed_array_read_check_min_01_bad, CWE-129, True, Improper Validation of Array Index
J1157, CWE129_Improper_Validation_of_Array_Index__large_fixed_array_read_check_min_01_good, CWE-129, False, Improper Validation of Array Index
J1158, CWE129_Improper_Validation_of_Array_Index__large_fixed_array_read_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1159, CWE129_Improper_Validation_of_Array_Index__large_fixed_array_read_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1160, CWE129_Improper_Validation_of_Array_Index__large_fixed_array_size_01_bad, CWE-129, True, Improper Validation of Array Index
J1161, CWE129_Improper_Validation_of_Array_Index__large_fixed_array_size_01_good, CWE-129, False, Improper Validation of Array Index
J1162, CWE129_Improper_Validation_of_Array_Index__large_fixed_array_write_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1163, CWE129_Improper_Validation_of_Array_Index__large_fixed_array_write_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1164, CWE129_Improper_Validation_of_Array_Index__listen_tcp_array_read_check_max_01_bad, CWE-129, True, Improper Validation of Array Index
J1165, CWE129_Improper_Validation_of_Array_Index__listen_tcp_array_read_check_max_01_good, CWE-129, False, Improper Validation of Array Index
J1166, CWE129_Improper_Validation_of_Array_Index__listen_tcp_array_read_check_min_01_bad, CWE-129, True, Improper Validation of Array Index
J1167, CWE129_Improper_Validation_of_Array_Index__listen_tcp_array_read_check_min_01_good, CWE-129, False, Improper Validation of Array Index
J1168, CWE129_Improper_Validation_of_Array_Index__listen_tcp_array_read_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1169, CWE129_Improper_Validation_of_Array_Index__listen_tcp_array_read_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1170, CWE129_Improper_Validation_of_Array_Index__listen_tcp_array_size_01_bad, CWE-129, True, Improper Validation of Array Index
J1171, CWE129_Improper_Validation_of_Array_Index__listen_tcp_array_size_01_good, CWE-129, False, Improper Validation of Array Index
J1172, CWE129_Improper_Validation_of_Array_Index__listen_tcp_array_write_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1173, CWE129_Improper_Validation_of_Array_Index__listen_tcp_array_write_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1174, CWE129_Improper_Validation_of_Array_Index__negative_fixed_array_read_check_max_01_bad, CWE-129, True, Improper Validation of Array Index
J1175, CWE129_Improper_Validation_of_Array_Index__negative_fixed_array_read_check_max_01_good, CWE-129, False, Improper Validation of Array Index
J1176, CWE129_Improper_Validation_of_Array_Index__negative_fixed_array_read_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1177, CWE129_Improper_Validation_of_Array_Index__negative_fixed_array_read_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1178, CWE129_Improper_Validation_of_Array_Index__negative_fixed_array_write_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1179, CWE129_Improper_Validation_of_Array_Index__negative_fixed_array_write_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1180, CWE129_Improper_Validation_of_Array_Index__PropertiesFile_array_read_check_max_01_bad, CWE-129, True, Improper Validation of Array Index
J1181, CWE129_Improper_Validation_of_Array_Index__PropertiesFile_array_read_check_max_01_good, CWE-129, False, Improper Validation of Array Index
J1182, CWE129_Improper_Validation_of_Array_Index__PropertiesFile_array_read_check_min_01_bad, CWE-129, True, Improper Validation of Array Index
J1183, CWE129_Improper_Validation_of_Array_Index__PropertiesFile_array_read_check_min_01_good, CWE-129, False, Improper Validation of Array Index
J1184, CWE129_Improper_Validation_of_Array_Index__PropertiesFile_array_read_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1185, CWE129_Improper_Validation_of_Array_Index__PropertiesFile_array_read_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1186, CWE129_Improper_Validation_of_Array_Index__PropertiesFile_array_size_01_bad, CWE-129, True, Improper Validation of Array Index
J1187, CWE129_Improper_Validation_of_Array_Index__PropertiesFile_array_size_01_good, CWE-129, False, Improper Validation of Array Index
J1188, CWE129_Improper_Validation_of_Array_Index__PropertiesFile_array_write_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1189, CWE129_Improper_Validation_of_Array_Index__PropertiesFile_array_write_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1190, CWE129_Improper_Validation_of_Array_Index__Property_array_read_check_max_01_bad, CWE-129, True, Improper Validation of Array Index
J1191, CWE129_Improper_Validation_of_Array_Index__Property_array_read_check_max_01_good, CWE-129, False, Improper Validation of Array Index
J1192, CWE129_Improper_Validation_of_Array_Index__Property_array_read_check_min_01_bad, CWE-129, True, Improper Validation of Array Index
J1193, CWE129_Improper_Validation_of_Array_Index__Property_array_read_check_min_01_good, CWE-129, False, Improper Validation of Array Index
J1194, CWE129_Improper_Validation_of_Array_Index__Property_array_read_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1195, CWE129_Improper_Validation_of_Array_Index__Property_array_read_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1196, CWE129_Improper_Validation_of_Array_Index__Property_array_size_01_bad, CWE-129, True, Improper Validation of Array Index
J1197, CWE129_Improper_Validation_of_Array_Index__Property_array_size_01_good, CWE-129, False, Improper Validation of Array Index
J1198, CWE129_Improper_Validation_of_Array_Index__Property_array_write_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
J1199, CWE129_Improper_Validation_of_Array_Index__Property_array_write_no_check_01_good, CWE-129, False, Improper Validation of Array Index
J1200, CWE129_Improper_Validation_of_Array_Index__random_array_read_check_max_01_bad, CWE-129, True, Improper Validation of Array Index
J1201, CWE129_Improper_Validation_of_Array_Index__random_array_read_check_max_01_good, CWE-129, False, Improper Validation of Array Index
J1202, CWE129_Improper_Validation_of_Array_Index__random_array_read_check_min_01_bad, CWE-129, True, Improper Validation of Array Index
J1203, CWE129_Improper_Validation_of_Array_Index__random_array_read_check_min_01_good, CWE-129, False, Improper Validation of Array Index
J1204, CWE129_Improper_Validation_of_Array_Index__random_array_read_no_check_01_bad, CWE-129, True, Improper Validation of Array Index
