CWE,Language,Query id,Query name
CWE-74,Java/Kotlin,java/tainted-format-string,Use of externally-controlled format string
CWE-74,Java/Kotlin,java/tainted-format-string-local,Use of externally-controlled format string from local source
CWE-74,Java/Kotlin,java/xml/xpath-injection,XPath injection
CWE-74,Java/Kotlin,java/android/unsafe-android-webview-fetch,Unsafe resource fetching in Android WebView
CWE-74,Java/Kotlin,java/ognl-injection,OGNL Expression Language statement with user-controlled input
CWE-74,Java/Kotlin,java/log4j-injection,Potential Log4J LDAP JNDI injection (CVE-2021-44228)
CWE-74,Java/Kotlin,java/command-line-injection-extra,Command Injection into Runtime.exec() with dangerous command
CWE-74,Java/Kotlin,java/command-line-injection-extra-local,Command Injection into Runtime.exec() with dangerous command
CWE-74,Java/Kotlin,java/command-line-injection-experimental,Uncontrolled command line (experimental sinks)
CWE-74,Java/Kotlin,java/mybatis-annotation-sql-injection,SQL injection in MyBatis annotation
CWE-74,Java/Kotlin,java/mybatis-xml-sql-injection,SQL injection in MyBatis Mapper XML
CWE-74,Java/Kotlin,java/beanshell-injection,BeanShell injection
CWE-74,Java/Kotlin,java/android-insecure-dex-loading,Insecure loading of an Android Dex File
CWE-74,Java/Kotlin,java/jshell-injection,JShell injection
CWE-74,Java/Kotlin,java/javaee-expression-injection,Jakarta Expression Language injection
CWE-74,Java/Kotlin,java/jython-injection,Injection in Jython
CWE-74,Java/Kotlin,java/unsafe-eval,Injection in Java Script Engine
CWE-74,Java/Kotlin,java/spring-view-manipulation-implicit,Spring Implicit View Manipulation
CWE-74,Java/Kotlin,java/spring-view-manipulation,Spring View Manipulation
CWE-74,Java/Kotlin,java/xquery-injection,XQuery query built from user-controlled sources
CWE-77,Java/Kotlin,java/relative-path-command,Executing a command with a relative path
CWE-77,Java/Kotlin,java/command-line-injection,Uncontrolled command line
CWE-77,Java/Kotlin,java/command-line-injection-local,Local-user-controlled command line
CWE-77,Java/Kotlin,java/concatenated-command-line,Building a command line with string concatenation
CWE-77,Java/Kotlin,java/ognl-injection,OGNL Expression Language statement with user-controlled input
CWE-77,Java/Kotlin,java/command-line-injection-extra,Command Injection into Runtime.exec() with dangerous command
CWE-77,Java/Kotlin,java/command-line-injection-extra-local,Command Injection into Runtime.exec() with dangerous command
CWE-77,Java/Kotlin,java/command-line-injection-experimental,Uncontrolled command line (experimental sinks)
CWE-78,Java/Kotlin,java/relative-path-command,Executing a command with a relative path
CWE-78,Java/Kotlin,java/command-line-injection,Uncontrolled command line
CWE-78,Java/Kotlin,java/command-line-injection-local,Local-user-controlled command line
CWE-78,Java/Kotlin,java/concatenated-command-line,Building a command line with string concatenation
CWE-78,Java/Kotlin,java/command-line-injection-extra,Command Injection into Runtime.exec() with dangerous command
CWE-78,Java/Kotlin,java/command-line-injection-extra-local,Command Injection into Runtime.exec() with dangerous command
CWE-78,Java/Kotlin,java/command-line-injection-experimental,Uncontrolled command line (experimental sinks)
CWE-79,Java/Kotlin,java/android/webview-addjavascriptinterface,Access Java object methods through JavaScript exposure
CWE-79,Java/Kotlin,java/android/websettings-javascript-enabled,Android WebView JavaScript settings
CWE-79,Java/Kotlin,java/xss,Cross-site scripting
CWE-79,Java/Kotlin,java/xss-local,Cross-site scripting from local source
CWE-79,Java/Kotlin,java/android/unsafe-android-webview-fetch,Unsafe resource fetching in Android WebView
CWE-88,Java/Kotlin,java/relative-path-command,Executing a command with a relative path
CWE-88,Java/Kotlin,java/command-line-injection,Uncontrolled command line
CWE-88,Java/Kotlin,java/command-line-injection-local,Local-user-controlled command line
CWE-88,Java/Kotlin,java/concatenated-command-line,Building a command line with string concatenation
CWE-88,Java/Kotlin,java/command-line-injection-experimental,Uncontrolled command line (experimental sinks)
CWE-89,Java/Kotlin,java/concatenated-sql-query,Query built by concatenation with a possibly-untrusted string
CWE-89,Java/Kotlin,java/sql-injection,Query built from user-controlled sources
CWE-89,Java/Kotlin,java/sql-injection-local,Query built from local-user-controlled sources
CWE-89,Java/Kotlin,java/mybatis-annotation-sql-injection,SQL injection in MyBatis annotation
CWE-89,Java/Kotlin,java/mybatis-xml-sql-injection,SQL injection in MyBatis Mapper XML
CWE-90,Java/Kotlin,java/ldap-injection,LDAP query built from user-controlled sources
CWE-91,Java/Kotlin,java/xml/xpath-injection,XPath injection
CWE-91,Java/Kotlin,java/xquery-injection,XQuery query built from user-controlled sources
CWE-93,Java/Kotlin,java/netty-http-request-or-response-splitting,Disabled Netty HTTP header validation
CWE-93,Java/Kotlin,java/http-response-splitting,HTTP response splitting
CWE-93,Java/Kotlin,java/http-response-splitting-local,HTTP response splitting from local source
CWE-94,Java/Kotlin,java/android/arbitrary-apk-installation,Android APK installation
CWE-94,Java/Kotlin,java/groovy-injection,Groovy Language injection
CWE-94,Java/Kotlin,java/insecure-bean-validation,Insecure Bean Validation
CWE-94,Java/Kotlin,java/jexl-expression-injection,Expression language injection (JEXL)
CWE-94,Java/Kotlin,java/mvel-expression-injection,Expression language injection (MVEL)
CWE-94,Java/Kotlin,java/spel-expression-injection,Expression language injection (Spring)
CWE-94,Java/Kotlin,java/server-side-template-injection,Server-side template injection
CWE-94,Java/Kotlin,java/beanshell-injection,BeanShell injection
CWE-94,Java/Kotlin,java/android-insecure-dex-loading,Insecure loading of an Android Dex File
CWE-94,Java/Kotlin,java/jshell-injection,JShell injection
CWE-94,Java/Kotlin,java/javaee-expression-injection,Jakarta Expression Language injection
CWE-94,Java/Kotlin,java/jython-injection,Injection in Jython
CWE-94,Java/Kotlin,java/unsafe-eval,Injection in Java Script Engine
CWE-94,Java/Kotlin,java/spring-view-manipulation-implicit,Spring Implicit View Manipulation
CWE-94,Java/Kotlin,java/spring-view-manipulation,Spring View Manipulation
CWE-95,Java/Kotlin,java/jython-injection,Injection in Jython
CWE-113,Java/Kotlin,java/netty-http-request-or-response-splitting,Disabled Netty HTTP header validation
CWE-113,Java/Kotlin,java/http-response-splitting,HTTP response splitting
CWE-113,Java/Kotlin,java/http-response-splitting-local,HTTP response splitting from local source
CWE-116,Java/Kotlin,java/log-injection,Log Injection
CWE-117,Java/Kotlin,java/log-injection,Log Injection
CWE-129,Java/Kotlin,java/improper-validation-of-array-construction,Improper validation of user-provided size used for array construction
CWE-129,Java/Kotlin,java/improper-validation-of-array-construction-code-specified,Improper validation of code-specified size used for array construction
CWE-129,Java/Kotlin,java/improper-validation-of-array-construction-local,Improper validation of local user-provided size used for array construction
CWE-129,Java/Kotlin,java/improper-validation-of-array-index,Improper validation of user-provided array index
CWE-129,Java/Kotlin,java/improper-validation-of-array-index-code-specified,Improper validation of code-specified array index
CWE-129,Java/Kotlin,java/improper-validation-of-array-index-local,Improper validation of local user-provided array index
CWE-134,Java/Kotlin,java/tainted-format-string,Use of externally-controlled format string
CWE-134,Java/Kotlin,java/tainted-format-string-local,Use of externally-controlled format string from local source
CWE-185,Java/Kotlin,java/permissive-dot-regex,URL matched by permissive . in a regular expression
CWE-190,Java/Kotlin,java/implicit-cast-in-compound-assignment,Implicit narrowing conversion in compound assignment
CWE-190,Java/Kotlin,java/integer-multiplication-cast-to-long,Result of multiplication cast to wider type
CWE-190,Java/Kotlin,java/tainted-arithmetic,User-controlled data in arithmetic expression
CWE-190,Java/Kotlin,java/tainted-arithmetic-local,Local-user-controlled data in arithmetic expression
CWE-190,Java/Kotlin,java/uncontrolled-arithmetic,Uncontrolled data in arithmetic expression
CWE-190,Java/Kotlin,java/extreme-value-arithmetic,Use of extreme values in arithmetic expression
CWE-190,Java/Kotlin,java/comparison-with-wider-type,Comparison of narrow type with wide type in loop condition
CWE-191,Java/Kotlin,java/tainted-arithmetic,User-controlled data in arithmetic expression
CWE-191,Java/Kotlin,java/tainted-arithmetic-local,Local-user-controlled data in arithmetic expression
CWE-191,Java/Kotlin,java/uncontrolled-arithmetic,Uncontrolled data in arithmetic expression
CWE-191,Java/Kotlin,java/extreme-value-arithmetic,Use of extreme values in arithmetic expression
CWE-193,Java/Kotlin,java/index-out-of-bounds,Array index out of bounds
CWE-197,Java/Kotlin,java/implicit-cast-in-compound-assignment,Implicit narrowing conversion in compound assignment
CWE-197,Java/Kotlin,java/integer-multiplication-cast-to-long,Result of multiplication cast to wider type
CWE-197,Java/Kotlin,java/comparison-with-wider-type,Comparison of narrow type with wide type in loop condition
CWE-197,Java/Kotlin,java/tainted-numeric-cast,User-controlled data in numeric cast
CWE-197,Java/Kotlin,java/tainted-numeric-cast-local,Local-user-controlled data in numeric cast
CWE-200,Java/Kotlin,java/android/websettings-allow-content-access,Android WebView settings allows access to content links
CWE-200,Java/Kotlin,java/android/websettings-file-access,Android WebSettings file access
CWE-200,Java/Kotlin,java/local-temp-file-or-directory-information-disclosure,Local information disclosure in a temporary directory
CWE-200,Java/Kotlin,java/stack-trace-exposure,Information exposure through a stack trace
CWE-200,Java/Kotlin,java/android/sensitive-keyboard-cache,Android sensitive keyboard cache
CWE-200,Java/Kotlin,java/sensitive-log,Insertion of sensitive information into log files
CWE-200,Java/Kotlin,java/insecure-webview-resource-response,Insecure Android WebView Resource Response
CWE-200,Java/Kotlin,java/sensitive-android-file-leak,Leaking sensitive Android file
CWE-200,Java/Kotlin,java/possible-timing-attack-against-signature,Possible timing attack against signature validation
CWE-200,Java/Kotlin,java/timing-attack-against-headers-value,Timing attack against header value
CWE-200,Java/Kotlin,java/timing-attack-against-signature,Timing attack against signature validation
CWE-200,Java/Kotlin,java/server-directory-listing,Directories and files exposure
CWE-200,Java/Kotlin,java/sensitive-query-with-get,Sensitive GET Query
CWE-203,Java/Kotlin,java/possible-timing-attack-against-signature,Possible timing attack against signature validation
CWE-203,Java/Kotlin,java/timing-attack-against-headers-value,Timing attack against header value
CWE-203,Java/Kotlin,java/timing-attack-against-signature,Timing attack against signature validation
CWE-208,Java/Kotlin,java/possible-timing-attack-against-signature,Possible timing attack against signature validation
CWE-208,Java/Kotlin,java/timing-attack-against-headers-value,Timing attack against header value
CWE-208,Java/Kotlin,java/timing-attack-against-signature,Timing attack against signature validation
CWE-209,Java/Kotlin,java/stack-trace-exposure,Information exposure through a stack trace
CWE-221,Java/Kotlin,java/overly-general-catch,Overly-general catch clause
CWE-227,Java/Kotlin,java/ejb/container-interference,EJB interferes with container operation
CWE-227,Java/Kotlin,java/ejb/file-io,EJB uses file input/output
CWE-227,Java/Kotlin,java/ejb/graphics,EJB uses graphics
CWE-227,Java/Kotlin,java/ejb/native-code,EJB uses native code
CWE-227,Java/Kotlin,java/ejb/reflection,EJB uses reflection
CWE-227,Java/Kotlin,java/ejb/security-configuration-access,EJB accesses security configuration
CWE-227,Java/Kotlin,java/ejb/substitution-in-serialization,EJB uses substitution in serialization
CWE-227,Java/Kotlin,java/ejb/socket-or-stream-handler-factory,EJB sets socket factory or URL stream handler factory
CWE-227,Java/Kotlin,java/ejb/server-socket,EJB uses server socket
CWE-227,Java/Kotlin,java/ejb/non-final-static-field,EJB uses non-final static field
CWE-227,Java/Kotlin,java/ejb/synchronization,EJB uses synchronization
CWE-227,Java/Kotlin,java/ejb/this,EJB uses 'this' as argument or result
CWE-227,Java/Kotlin,java/ejb/threads,EJB uses threads
CWE-227,Java/Kotlin,java/missing-call-to-super-clone,Missing super clone
CWE-227,Java/Kotlin,java/inconsistent-equals-and-hashcode,Inconsistent equals and hashCode
CWE-227,Java/Kotlin,java/unreleased-lock,Unreleased lock
CWE-227,Java/Kotlin,java/missing-super-finalize,Finalizer inconsistency
CWE-227,Java/Kotlin,java/missing-format-argument,Missing format argument
CWE-227,Java/Kotlin,java/unused-format-argument,Unused format argument
CWE-227,Java/Kotlin,java/static-initialization-vector,Using a static initialization vector for encryption
CWE-227,Java/Kotlin,java/empty-finalizer,Empty body of finalizer
CWE-248,Java/Kotlin,java/uncaught-number-format-exception,Missing catch of NumberFormatException
CWE-248,Java/Kotlin,java/uncaught-servlet-exception,Uncaught Servlet Exception
CWE-252,Java/Kotlin,java/inconsistent-call-on-result,Inconsistent operation on return value
CWE-252,Java/Kotlin,java/return-value-ignored,Method result ignored
CWE-256,Java/Kotlin,java/credentials-in-properties,Cleartext Credentials in Properties File
CWE-256,Java/Kotlin,java/password-in-configuration,Password in configuration file
CWE-260,Java/Kotlin,java/credentials-in-properties,Cleartext Credentials in Properties File
CWE-260,Java/Kotlin,java/password-in-configuration,Password in configuration file
CWE-266,Java/Kotlin,java/android/intent-uri-permission-manipulation,Intent URI permission manipulation
CWE-269,Java/Kotlin,java/android/intent-uri-permission-manipulation,Intent URI permission manipulation
CWE-269,Java/Kotlin,java/unsafe-cert-trust,Unsafe certificate trust
CWE-271,Java/Kotlin,java/unsafe-cert-trust,Unsafe certificate trust
CWE-273,Java/Kotlin,java/unsafe-cert-trust,Unsafe certificate trust
CWE-284,Java/Kotlin,java/local-temp-file-or-directory-information-disclosure,Local information disclosure in a temporary directory
CWE-284,Java/Kotlin,java/android/intent-uri-permission-manipulation,Intent URI permission manipulation
CWE-284,Java/Kotlin,java/unsafe-cert-trust,Unsafe certificate trust
CWE-284,Java/Kotlin,java/insecure-smtp-ssl,Insecure JavaMail SSL Configuration
CWE-284,Java/Kotlin,java/unsafe-hostname-verification,Unsafe hostname verification
CWE-284,Java/Kotlin,java/socket-auth-race-condition,Race condition in socket authentication
CWE-284,Java/Kotlin,java/insecure-basic-auth,Insecure basic authentication
CWE-284,Java/Kotlin,java/insecure-ldap-auth,Insecure LDAP authentication
CWE-284,Java/Kotlin,java/world-writable-file-read,Reading from a world writable file
CWE-284,Java/Kotlin,java/hardcoded-credential-api-call,Hard-coded credential in API call
CWE-284,Java/Kotlin,java/hardcoded-credential-comparison,Hard-coded credential comparison
CWE-284,Java/Kotlin,java/hardcoded-credential-sensitive-call,Hard-coded credential in sensitive call
CWE-284,Java/Kotlin,java/hardcoded-password-field,Hard-coded password field
CWE-284,Java/Kotlin,java/user-controlled-bypass,User-controlled bypass of sensitive method
CWE-284,Java/Kotlin,java/tainted-permissions-check,User-controlled data used in permissions check
CWE-284,Java/Kotlin,java/maven/non-https-url,Failure to use HTTPS or SFTP URL in Maven artifact upload/download
CWE-284,Java/Kotlin,java/improper-intent-verification,Improper verification of intent by broadcast receiver
CWE-284,Java/Kotlin,java/android/incomplete-provider-permissions,Missing read or write permission in a content provider
CWE-284,Java/Kotlin,java/android/implicitly-exported-component,Implicitly exported Android component
CWE-284,Java/Kotlin,java/android/implicit-pendingintents,Use of implicit PendingIntents
CWE-284,Java/Kotlin,java/android/sensitive-communication,Leaking sensitive information through an implicit Intent
CWE-284,Java/Kotlin,java/android/sensitive-result-receiver,Leaking sensitive information through a ResultReceiver
CWE-284,Java/Kotlin,java/android/intent-redirection,Android Intent redirection
CWE-284,Java/Kotlin,java/ignored-hostname-verification,Ignored result of hostname verification
CWE-284,Java/Kotlin,java/insecure-ldaps-endpoint,Insecure LDAPS Endpoint Configuration
CWE-284,Java/Kotlin,java/unvalidated-cors-origin-set,CORS is derived from untrusted input
CWE-284,Java/Kotlin,java/credentials-in-properties,Cleartext Credentials in Properties File
CWE-284,Java/Kotlin,java/password-in-configuration,Password in configuration file
CWE-284,Java/Kotlin,java/permissive-dot-regex,URL matched by permissive . in a regular expression
CWE-284,Java/Kotlin,java/incorrect-url-verification,Incorrect URL verification
CWE-285,Java/Kotlin,java/local-temp-file-or-directory-information-disclosure,Local information disclosure in a temporary directory
CWE-285,Java/Kotlin,java/android/intent-uri-permission-manipulation,Intent URI permission manipulation
CWE-285,Java/Kotlin,java/world-writable-file-read,Reading from a world writable file
CWE-285,Java/Kotlin,java/android/incomplete-provider-permissions,Missing read or write permission in a content provider
CWE-285,Java/Kotlin,java/android/implicitly-exported-component,Implicitly exported Android component
CWE-285,Java/Kotlin,java/android/implicit-pendingintents,Use of implicit PendingIntents
CWE-285,Java/Kotlin,java/android/sensitive-communication,Leaking sensitive information through an implicit Intent
CWE-285,Java/Kotlin,java/android/sensitive-result-receiver,Leaking sensitive information through a ResultReceiver
CWE-285,Java/Kotlin,java/android/intent-redirection,Android Intent redirection
CWE-285,Java/Kotlin,java/permissive-dot-regex,URL matched by permissive . in a regular expression
CWE-285,Java/Kotlin,java/incorrect-url-verification,Incorrect URL verification
CWE-287,Java/Kotlin,java/insecure-basic-auth,Insecure basic authentication
CWE-287,Java/Kotlin,java/insecure-ldap-auth,Insecure LDAP authentication
CWE-287,Java/Kotlin,java/hardcoded-credential-api-call,Hard-coded credential in API call
CWE-287,Java/Kotlin,java/hardcoded-credential-comparison,Hard-coded credential comparison
CWE-287,Java/Kotlin,java/hardcoded-credential-sensitive-call,Hard-coded credential in sensitive call
CWE-287,Java/Kotlin,java/hardcoded-password-field,Hard-coded password field
CWE-287,Java/Kotlin,java/user-controlled-bypass,User-controlled bypass of sensitive method
CWE-287,Java/Kotlin,java/tainted-permissions-check,User-controlled data used in permissions check
CWE-287,Java/Kotlin,java/credentials-in-properties,Cleartext Credentials in Properties File
CWE-287,Java/Kotlin,java/password-in-configuration,Password in configuration file
CWE-290,Java/Kotlin,java/user-controlled-bypass,User-controlled bypass of sensitive method
CWE-290,Java/Kotlin,java/tainted-permissions-check,User-controlled data used in permissions check
CWE-295,Java/Kotlin,java/android/missing-certificate-pinning,Android missing certificate pinning
CWE-295,Java/Kotlin,java/improper-webview-certificate-validation,Android WebView that accepts all certificates
CWE-295,Java/Kotlin,java/insecure-trustmanager,TrustManager that accepts all certificates
CWE-295,Java/Kotlin,java/insecure-smtp-ssl,Insecure JavaMail SSL Configuration
CWE-295,Java/Kotlin,java/unsafe-hostname-verification,Unsafe hostname verification
CWE-295,Java/Kotlin,java/jxbrowser/disabled-certificate-validation,JxBrowser with disabled certificate validation
CWE-295,Java/Kotlin,java/ignored-hostname-verification,Ignored result of hostname verification
CWE-295,Java/Kotlin,java/insecure-ldaps-endpoint,Insecure LDAPS Endpoint Configuration
CWE-295,Java/Kotlin,java/disabled-certificate-revocation-checking,Disabled certificate revocation checking
CWE-297,Java/Kotlin,java/insecure-smtp-ssl,Insecure JavaMail SSL Configuration
CWE-297,Java/Kotlin,java/unsafe-hostname-verification,Unsafe hostname verification
CWE-297,Java/Kotlin,java/ignored-hostname-verification,Ignored result of hostname verification
CWE-297,Java/Kotlin,java/insecure-ldaps-endpoint,Insecure LDAPS Endpoint Configuration
CWE-299,Java/Kotlin,java/disabled-certificate-revocation-checking,Disabled certificate revocation checking
CWE-300,Java/Kotlin,java/maven/non-https-url,Failure to use HTTPS or SFTP URL in Maven artifact upload/download
CWE-311,Java/Kotlin,java/android/backup-enabled,Application backup allowed
CWE-311,Java/Kotlin,java/android/cleartext-storage-database,Cleartext storage of sensitive information using a local database on Android
CWE-311,Java/Kotlin,java/android/cleartext-storage-filesystem,Cleartext storage of sensitive information in the Android filesystem
CWE-311,Java/Kotlin,java/cleartext-storage-in-class,Cleartext storage of sensitive information using storable class
CWE-311,Java/Kotlin,java/cleartext-storage-in-cookie,Cleartext storage of sensitive information in cookie
CWE-311,Java/Kotlin,java/cleartext-storage-in-properties,Cleartext storage of sensitive information using 'Properties' class
CWE-311,Java/Kotlin,java/android/cleartext-storage-shared-prefs,Cleartext storage of sensitive information using SharedPreferences on Android
CWE-311,Java/Kotlin,java/non-https-url,Failure to use HTTPS URLs
CWE-311,Java/Kotlin,java/non-ssl-connection,Failure to use SSL
CWE-311,Java/Kotlin,java/non-ssl-socket-factory,Failure to use SSL socket factories
CWE-311,Java/Kotlin,java/insecure-basic-auth,Insecure basic authentication
CWE-311,Java/Kotlin,java/insecure-ldap-auth,Insecure LDAP authentication
CWE-311,Java/Kotlin,java/insecure-cookie,Failure to use secure cookies
CWE-311,Java/Kotlin,java/maven/non-https-url,Failure to use HTTPS or SFTP URL in Maven artifact upload/download
CWE-312,Java/Kotlin,java/android/backup-enabled,Application backup allowed
CWE-312,Java/Kotlin,java/android/cleartext-storage-database,Cleartext storage of sensitive information using a local database on Android
CWE-312,Java/Kotlin,java/android/cleartext-storage-filesystem,Cleartext storage of sensitive information in the Android filesystem
CWE-312,Java/Kotlin,java/cleartext-storage-in-class,Cleartext storage of sensitive information using storable class
CWE-312,Java/Kotlin,java/cleartext-storage-in-cookie,Cleartext storage of sensitive information in cookie
CWE-312,Java/Kotlin,java/cleartext-storage-in-properties,Cleartext storage of sensitive information using 'Properties' class
CWE-312,Java/Kotlin,java/android/cleartext-storage-shared-prefs,Cleartext storage of sensitive information using SharedPreferences on Android
CWE-313,Java/Kotlin,java/cleartext-storage-in-properties,Cleartext storage of sensitive information using 'Properties' class
CWE-315,Java/Kotlin,java/cleartext-storage-in-cookie,Cleartext storage of sensitive information in cookie
CWE-319,Java/Kotlin,java/non-https-url,Failure to use HTTPS URLs
CWE-319,Java/Kotlin,java/non-ssl-connection,Failure to use SSL
CWE-319,Java/Kotlin,java/non-ssl-socket-factory,Failure to use SSL socket factories
CWE-319,Java/Kotlin,java/insecure-basic-auth,Insecure basic authentication
CWE-319,Java/Kotlin,java/insecure-ldap-auth,Insecure LDAP authentication
CWE-319,Java/Kotlin,java/maven/non-https-url,Failure to use HTTPS or SFTP URL in Maven artifact upload/download
CWE-326,Java/Kotlin,java/insufficient-key-size,Use of a cryptographic algorithm with insufficient key size
CWE-326,Java/Kotlin,java/weak-cryptographic-algorithm,Use of a broken or risky cryptographic algorithm
CWE-326,Java/Kotlin,java/potentially-weak-cryptographic-algorithm,Use of a potentially broken or risky cryptographic algorithm
CWE-327,Java/Kotlin,java/weak-cryptographic-algorithm,Use of a broken or risky cryptographic algorithm
CWE-327,Java/Kotlin,java/potentially-weak-cryptographic-algorithm,Use of a potentially broken or risky cryptographic algorithm
CWE-327,Java/Kotlin,java/rsa-without-oaep,Use of RSA algorithm without OAEP
CWE-327,Java/Kotlin,java/azure-storage/unsafe-client-side-encryption-in-use,Unsafe usage of v1 version of Azure Storage client-side encryption (CVE-2022-30187).
CWE-327,Java/Kotlin,java/unsafe-tls-version,Unsafe TLS version
CWE-327,Java/Kotlin,java/hash-without-salt,Use of a hash function without a salt
CWE-328,Java/Kotlin,java/weak-cryptographic-algorithm,Use of a broken or risky cryptographic algorithm
CWE-328,Java/Kotlin,java/potentially-weak-cryptographic-algorithm,Use of a potentially broken or risky cryptographic algorithm
CWE-329,Java/Kotlin,java/static-initialization-vector,Using a static initialization vector for encryption
CWE-330,Java/Kotlin,java/random-used-once,Random used only once
CWE-330,Java/Kotlin,java/static-initialization-vector,Using a static initialization vector for encryption
CWE-330,Java/Kotlin,java/predictable-seed,Use of a predictable seed in a secure random number generator
CWE-330,Java/Kotlin,java/jhipster-prng,Detect JHipster Generator Vulnerability CVE-2019-16303
CWE-330,Java/Kotlin,java/hardcoded-credential-api-call,Hard-coded credential in API call
CWE-330,Java/Kotlin,java/hardcoded-credential-comparison,Hard-coded credential comparison
CWE-330,Java/Kotlin,java/hardcoded-credential-sensitive-call,Hard-coded credential in sensitive call
CWE-330,Java/Kotlin,java/hardcoded-password-field,Hard-coded password field
CWE-335,Java/Kotlin,java/random-used-once,Random used only once
CWE-335,Java/Kotlin,java/predictable-seed,Use of a predictable seed in a secure random number generator
CWE-337,Java/Kotlin,java/predictable-seed,Use of a predictable seed in a secure random number generator
CWE-338,Java/Kotlin,java/jhipster-prng,Detect JHipster Generator Vulnerability CVE-2019-16303
CWE-344,Java/Kotlin,java/hardcoded-credential-api-call,Hard-coded credential in API call
CWE-344,Java/Kotlin,java/hardcoded-credential-comparison,Hard-coded credential comparison
CWE-344,Java/Kotlin,java/hardcoded-credential-sensitive-call,Hard-coded credential in sensitive call
CWE-344,Java/Kotlin,java/hardcoded-password-field,Hard-coded password field
CWE-345,Java/Kotlin,java/missing-jwt-signature-check,Missing JWT signature check
