dataset;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1153;True;CWE-190;17.7449848651886;total_tokens: 1763, completion_tokens: 451, prompt_tokens: 1312;0.02665;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1154;False;;16.689548015594482;total_tokens: 606, completion_tokens: 260, prompt_tokens: 346;0.01126;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1154;True;CWE-190;28.793596982955933;total_tokens: 1386, completion_tokens: 378, prompt_tokens: 1008;0.02142;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1155;False;;27.505733966827393;total_tokens: 819, completion_tokens: 361, prompt_tokens: 458;0.01541;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1155;True;CWE-190;30.93041443824768;total_tokens: 1788, completion_tokens: 455, prompt_tokens: 1333;0.02698;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1156;False;;16.59298610687256;total_tokens: 595, completion_tokens: 224, prompt_tokens: 371;0.01043;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1156;False;;25.34774947166443;total_tokens: 1418, completion_tokens: 396, prompt_tokens: 1022;0.0221;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1157;False;;28.421783685684204;total_tokens: 798, completion_tokens: 339, prompt_tokens: 459;0.01476;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1157;None;;40.57786560058594;total_tokens: 1791, completion_tokens: 478, prompt_tokens: 1313;0.02747;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1158;False;;14.178667545318604;total_tokens: 680, completion_tokens: 299, prompt_tokens: 381;0.01278;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1158;True;CWE-190;18.134761333465576;total_tokens: 1525, completion_tokens: 408, prompt_tokens: 1117;0.02341;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1159;False;;10.57844877243042;total_tokens: 817, completion_tokens: 334, prompt_tokens: 483;0.014849999999999999;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1159;None;CWE-190;24.81766939163208;total_tokens: 1888, completion_tokens: 532, prompt_tokens: 1356;0.029519999999999998;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1160;False;;16.07116675376892;total_tokens: 599, completion_tokens: 229, prompt_tokens: 370;0.01057;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1160;True;CWE-190;24.273796558380127;total_tokens: 1371, completion_tokens: 346, prompt_tokens: 1025;0.02063;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1161;False;;18.925363540649414;total_tokens: 835, completion_tokens: 353, prompt_tokens: 482;0.015409999999999998;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1161;True;CWE-190;25.857489585876465;total_tokens: 1846, completion_tokens: 473, prompt_tokens: 1373;0.02792;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1162;True;CWE-20;18.4096097946167;total_tokens: 1028, completion_tokens: 397, prompt_tokens: 631;0.01822;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1162;False;;31.221580982208252;total_tokens: 2303, completion_tokens: 588, prompt_tokens: 1715;0.03479;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1163;True;CWE-190;50.70460224151611;total_tokens: 1004, completion_tokens: 285, prompt_tokens: 719;0.015739999999999997;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1163;False;CWE-190;58.272244453430176;total_tokens: 2214, completion_tokens: 435, prompt_tokens: 1779;0.030839999999999996;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1164;True;CWE-20;17.068442583084106;total_tokens: 910, completion_tokens: 269, prompt_tokens: 641;0.01448;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1164;True;CWE-190;22.073814868927002;total_tokens: 2018, completion_tokens: 411, prompt_tokens: 1607;0.028399999999999998;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1165;True;CWE-20;5.981997966766357;total_tokens: 950, completion_tokens: 207, prompt_tokens: 743;0.01364;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1165;False;;12.42254900932312;total_tokens: 2060, completion_tokens: 311, prompt_tokens: 1749;0.026819999999999997;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1166;True;CWE-20;15.541589260101318;total_tokens: 940, completion_tokens: 310, prompt_tokens: 630;0.0156;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1166;True;CWE-190;25.43610119819641;total_tokens: 2069, completion_tokens: 443, prompt_tokens: 1626;0.02955;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1167;True;CWE-20;19.506236791610718;total_tokens: 1061, completion_tokens: 319, prompt_tokens: 742;0.01699;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1167;True;CWE-190;44.21366596221924;total_tokens: 2377, completion_tokens: 518, prompt_tokens: 1859;0.03413;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1168;True;CWE-20;11.95535135269165;total_tokens: 815, completion_tokens: 244, prompt_tokens: 571;0.01303;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1168;True;CWE-190;20.48320960998535;total_tokens: 1816, completion_tokens: 374, prompt_tokens: 1442;0.02564;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1169;True;CWE-190;20.964088916778564;total_tokens: 989, completion_tokens: 330, prompt_tokens: 659;0.01649;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1169;False;CWE-190;26.611560583114624;total_tokens: 2132, completion_tokens: 428, prompt_tokens: 1704;0.02988;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1170;True;CWE-190;14.958232641220093;total_tokens: 853, completion_tokens: 272, prompt_tokens: 581;0.01397;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1170;False;;25.75493335723877;total_tokens: 1923, completion_tokens: 433, prompt_tokens: 1490;0.02789;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1171;True;CWE-20;18.398643493652344;total_tokens: 1022, completion_tokens: 339, prompt_tokens: 683;0.017;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1171;False;CWE-190;26.655742645263672;total_tokens: 2259, completion_tokens: 498, prompt_tokens: 1761;0.03255;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1172;True;CWE-20;11.448801517486572;total_tokens: 796, completion_tokens: 226, prompt_tokens: 570;0.012479999999999998;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1172;False;;19.835646867752075;total_tokens: 1819, completion_tokens: 397, prompt_tokens: 1422;0.026129999999999997;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1173;True;CWE-190;14.554972410202026;total_tokens: 957, completion_tokens: 275, prompt_tokens: 682;0.01507;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1173;True;CWE-190;26.13625717163086;total_tokens: 2107, completion_tokens: 412, prompt_tokens: 1695;0.02931;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1174;False;;18.910757303237915;total_tokens: 907, completion_tokens: 293, prompt_tokens: 614;0.014929999999999999;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1174;True;CWE-209;30.847681760787964;total_tokens: 2112, completion_tokens: 535, prompt_tokens: 1577;0.03182;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1175;True;CWE-20;12.467470169067383;total_tokens: 950, completion_tokens: 248, prompt_tokens: 702;0.014459999999999999;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1175;True;CWE-89;20.353163242340088;total_tokens: 2064, completion_tokens: 356, prompt_tokens: 1708;0.02776;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1176;True;CWE-89;18.55671238899231;total_tokens: 912, completion_tokens: 288, prompt_tokens: 624;0.014879999999999997;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1176;True;CWE-117 CWE-89;25.795827865600586;total_tokens: 2004, completion_tokens: 412, prompt_tokens: 1592;0.028279999999999996;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1177;True;CWE-89;20.798904180526733;total_tokens: 1074, completion_tokens: 348, prompt_tokens: 726;0.0177;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1177;True;CWE-89 CWE-190;28.04075789451599;total_tokens: 2332, completion_tokens: 476, prompt_tokens: 1856;0.03284;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1178;True;CWE-190;9.099589586257935;total_tokens: 922, completion_tokens: 309, prompt_tokens: 613;0.015399999999999999;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1178;True;CWE-190;13.218400239944458;total_tokens: 2059, completion_tokens: 468, prompt_tokens: 1591;0.029949999999999997;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1179;True;CWE-89;23.975434064865112;total_tokens: 1192, completion_tokens: 467, prompt_tokens: 725;0.02126;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1179;True;CWE-79 CWE-89;35.92203187942505;total_tokens: 2657, completion_tokens: 684, prompt_tokens: 1973;0.04025;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1180;True;CWE-190;17.327003240585327;total_tokens: 691, completion_tokens: 279, prompt_tokens: 412;0.012490000000000001;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1180;False;CWE-190;36.12485384941101;total_tokens: 1630, completion_tokens: 471, prompt_tokens: 1159;0.02572;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1181;True;CWE-20;17.644867420196533;total_tokens: 819, completion_tokens: 319, prompt_tokens: 500;0.01457;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1181;True;CWE-20;25.945753574371338;total_tokens: 1869, completion_tokens: 494, prompt_tokens: 1375;0.028569999999999998;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1182;True;CWE-807;19.735028982162476;total_tokens: 687, completion_tokens: 265, prompt_tokens: 422;0.01217;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1182;True;CWE-807 CWE-190;29.69131112098694;total_tokens: 1632, completion_tokens: 467, prompt_tokens: 1165;0.025660000000000002;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1183;True;CWE-190;19.00484585762024;total_tokens: 828, completion_tokens: 304, prompt_tokens: 524;0.014360000000000001;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1183;False;CWE-190;28.569947957992554;total_tokens: 1897, completion_tokens: 489, prompt_tokens: 1408;0.02875;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1184;True;CWE-190;20.579288959503174;total_tokens: 729, completion_tokens: 318, prompt_tokens: 411;0.013649999999999999;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1184;True;CWE-190;28.93285822868347;total_tokens: 1698, completion_tokens: 502, prompt_tokens: 1196;0.02702;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1185;True;CWE-190;25.56346845626831;total_tokens: 934, completion_tokens: 411, prompt_tokens: 523;0.01756;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1185;False;CWE-190;32.88439059257507;total_tokens: 2047, completion_tokens: 534, prompt_tokens: 1513;0.03115;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1186;True;CWE-200;8.405870914459229;total_tokens: 815, completion_tokens: 165, prompt_tokens: 650;0.011450000000000002;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1186;False;CWE-200;22.628669023513794;total_tokens: 1825, completion_tokens: 304, prompt_tokens: 1521;0.024330000000000004;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1187;True;CWE-20;8.066965579986572;total_tokens: 1014, completion_tokens: 276, prompt_tokens: 738;0.01566;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1187;True;CWE-20;11.24776840209961;total_tokens: 2162, completion_tokens: 354, prompt_tokens: 1808;0.028700000000000003;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1188;True;CWE-197;22.61128258705139;total_tokens: 897, completion_tokens: 237, prompt_tokens: 660;0.01371;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1188;True;CWE-197 CWE-190;32.18760299682617;total_tokens: 2009, completion_tokens: 396, prompt_tokens: 1613;0.02801;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1189;True;CWE-190;20.404053449630737;total_tokens: 951, completion_tokens: 189, prompt_tokens: 762;0.01329;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1189;True;CWE-22;28.071269750595093;total_tokens: 2081, completion_tokens: 312, prompt_tokens: 1769;0.027049999999999998;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1190;True;CWE-190;10.353531122207642;total_tokens: 847, completion_tokens: 198, prompt_tokens: 649;0.01243;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1190;True;CWE-190;13.281721830368042;total_tokens: 1843, completion_tokens: 291, prompt_tokens: 1552;0.02425;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1191;True;CWE-197;18.31614923477173;total_tokens: 1109, completion_tokens: 348, prompt_tokens: 761;0.01805;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1191;False;CWE-197;41.362282276153564;total_tokens: 2531, completion_tokens: 605, prompt_tokens: 1926;0.03741;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1192;True;CWE-532 CWE-20;18.59101104736328;total_tokens: 760, completion_tokens: 331, prompt_tokens: 429;0.01422;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1192;True;CWE-190 CWE-20;27.285444498062134;total_tokens: 1751, completion_tokens: 506, prompt_tokens: 1245;0.02763;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1193;True;CWE-20;13.925064086914062;total_tokens: 782, completion_tokens: 249, prompt_tokens: 533;0.0128;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1193;True;CWE-190;18.635683059692383;total_tokens: 1777, completion_tokens: 406, prompt_tokens: 1371;0.025890000000000003;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1194;True;CWE-79;11.627197027206421;total_tokens: 758, completion_tokens: 319, prompt_tokens: 439;0.01396;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1194;True;CWE-79;21.004371643066406;total_tokens: 1760, completion_tokens: 507, prompt_tokens: 1253;0.02774;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1195;True;CWE-190;17.499028205871582;total_tokens: 881, completion_tokens: 324, prompt_tokens: 557;0.01529;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1195;False;;24.478407382965088;total_tokens: 1991, completion_tokens: 497, prompt_tokens: 1494;0.02985;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1196;True;CWE-20;27.18919014930725;total_tokens: 713, completion_tokens: 285, prompt_tokens: 428;0.012829999999999998;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1196;False;CWE-20;35.37401533126831;total_tokens: 1613, completion_tokens: 416, prompt_tokens: 1197;0.02445;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1197;True;CWE-190;14.522038221359253;total_tokens: 834, completion_tokens: 278, prompt_tokens: 556;0.013900000000000001;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1197;False;;21.251721382141113;total_tokens: 1841, completion_tokens: 395, prompt_tokens: 1446;0.02631;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1198;False;;24.63575768470764;total_tokens: 811, completion_tokens: 400, prompt_tokens: 411;0.01611;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1198;True;CWE-190;33.28641128540039;total_tokens: 1802, completion_tokens: 524, prompt_tokens: 1278;0.028499999999999998;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1199;False;;10.574862003326416;total_tokens: 929, completion_tokens: 414, prompt_tokens: 515;0.01757;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1199;True;CWE-190;21.280686140060425;total_tokens: 2083, completion_tokens: 583, prompt_tokens: 1500;0.03249;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1200;True;CWE-190;7.511347770690918;total_tokens: 730, completion_tokens: 309, prompt_tokens: 421;0.013479999999999999;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1200;True;CWE-190;25.232561349868774;total_tokens: 1665, completion_tokens: 458, prompt_tokens: 1207;0.02581;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1201;True;CWE-190;34.98053956031799;total_tokens: 916, completion_tokens: 377, prompt_tokens: 539;0.0167;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1201;False;CWE-190;44.20133423805237;total_tokens: 2024, completion_tokens: 513, prompt_tokens: 1511;0.0305;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1202;True;CWE-190;8.331914186477661;total_tokens: 699, completion_tokens: 289, prompt_tokens: 410;0.012769999999999998;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1202;True;CWE-190;21.441055297851562;total_tokens: 1645, completion_tokens: 480, prompt_tokens: 1165;0.026049999999999997;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1203;True;CWE-190;17.914416551589966;total_tokens: 845, completion_tokens: 307, prompt_tokens: 538;0.014589999999999999;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1203;False;CWE-190;25.33573818206787;total_tokens: 1853, completion_tokens: 414, prompt_tokens: 1439;0.02681;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1204;False;;14.701992750167847;total_tokens: 725, completion_tokens: 278, prompt_tokens: 447;0.01281;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1204;True;CWE-190;26.457932472229004;total_tokens: 1658, completion_tokens: 430, prompt_tokens: 1228;0.02518;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1205;True;CWE-80;10.547908306121826;total_tokens: 774, completion_tokens: 223, prompt_tokens: 551;0.012199999999999999;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1205;True;CWE-80 CWE-190;22.237638473510742;total_tokens: 1818, completion_tokens: 437, prompt_tokens: 1381;0.02692;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1206;True;CWE-20;18.864218711853027;total_tokens: 692, completion_tokens: 235, prompt_tokens: 457;0.011619999999999998;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1206;True;CWE-190;24.967798948287964;total_tokens: 1592, completion_tokens: 387, prompt_tokens: 1205;0.02366;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1207;True;CWE-20;17.57229208946228;total_tokens: 912, completion_tokens: 337, prompt_tokens: 575;0.01586;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1207;True;CWE-79;26.055371522903442;total_tokens: 2038, completion_tokens: 495, prompt_tokens: 1543;0.030279999999999998;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1208;True;CWE-190;51.628456592559814;total_tokens: 781, completion_tokens: 335, prompt_tokens: 446;0.01451;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1208;True;CWE-190;55.62277960777283;total_tokens: 1771, completion_tokens: 488, prompt_tokens: 1283;0.02747;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1209;True;CWE-190;7.361563444137573;total_tokens: 884, completion_tokens: 310, prompt_tokens: 574;0.015039999999999998;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1209;True;CWE-190;15.273190975189209;total_tokens: 1971, completion_tokens: 457, prompt_tokens: 1514;0.028849999999999997;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1210;True;CWE-20;13.80811357498169;total_tokens: 943, completion_tokens: 263, prompt_tokens: 680;0.01469;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1210;True;CWE-190;22.95106291770935;total_tokens: 2091, completion_tokens: 412, prompt_tokens: 1679;0.029150000000000002;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1211;True;CWE-20;16.731452226638794;total_tokens: 1043, completion_tokens: 275, prompt_tokens: 768;0.01593;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1211;True;CWE-190;28.48184609413147;total_tokens: 2267, completion_tokens: 400, prompt_tokens: 1867;0.03067;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1212;True;CWE-190;23.683919429779053;total_tokens: 1021, completion_tokens: 331, prompt_tokens: 690;0.016829999999999998;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1212;False;CWE-190;39.06067657470703;total_tokens: 2300, completion_tokens: 533, prompt_tokens: 1767;0.033659999999999995;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1213;True;CWE-20;11.702642440795898;total_tokens: 1116, completion_tokens: 324, prompt_tokens: 792;0.01764;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1213;True;CWE-532;16.407264471054077;total_tokens: 2444, completion_tokens: 480, prompt_tokens: 1964;0.03404;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1214;True;CWE-190;17.379302263259888;total_tokens: 974, completion_tokens: 295, prompt_tokens: 679;0.01564;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1214;False;;31.930835008621216;total_tokens: 2194, completion_tokens: 485, prompt_tokens: 1709;0.03164;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1215;True;CWE-20;15.031082391738892;total_tokens: 1104, completion_tokens: 313, prompt_tokens: 791;0.0173;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1215;False;CWE-20;26.319650173187256;total_tokens: 2428, completion_tokens: 477, prompt_tokens: 1951;0.03382;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1216;True;CWE-190;24.888423204421997;total_tokens: 601, completion_tokens: 254, prompt_tokens: 347;0.01109;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1216;False;;29.270533323287964;total_tokens: 1395, completion_tokens: 391, prompt_tokens: 1004;0.021769999999999998;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1217;False;;16.700434923171997;total_tokens: 739, completion_tokens: 304, prompt_tokens: 435;0.01347;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1217;False;;25.218106031417847;total_tokens: 1699, completion_tokens: 469, prompt_tokens: 1230;0.02637;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1218;False;;13.298234224319458;total_tokens: 580, completion_tokens: 223, prompt_tokens: 357;0.01026;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1218;True;CWE-190;18.56003189086914;total_tokens: 1299, completion_tokens: 306, prompt_tokens: 993;0.019110000000000002;2024-01-14
